group_kanji,member_number,kanji,original_kanji,meaning,story,frame_number,onyomi
一,1,一①,一,"one, one radical (no.1)","In Chinese characters, the number one is laid on its side, unlike the Roman numeral i which stands upright. As you would expect, it is written from left to right. [1]",1,イチ、イツ
一,1,一②,一,One,"* as a primitive ELEMENT, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of floor or ceiling, depending on its position: if it stands above another primitive, it means ceiling; if below, floor.",,イチ、イツ
一,2,二,二,"two, two radical (no. 7)","Ì Like the Roman numeral ii, which reduplicates the numeral i, the kanji for two is a simple reduplication of the horizontal stroke that means one. The order of writing goes from above to below, with the First stroke slightly shorter. [2]",2,ニ、ジ
一,3,三,三,three,"X And like the Roman numeral iii, which triples the numeral i, the kanji for three simply triples the single horizontal stroke. In writing it, think of “1 + 2 = 3” (s + Ì = X) in order to keep the middle stroke shorter. [3]",3,サン、ゾウ
一,4,四,四,four,"This character is composed of two primitive elements, mouth S and human legs #, both of which we will meet in the coming Lessons. Assuming that you already knew how to write this kanji, we will pass over the “story” connected with it until later. Note how the second stroke is written left-to-right and then top-to-bottom. This is consistent with what we have already seen in the first three numbers and leads us to a general principle that will be helpful when we come to more complicated kanji later on: write north-to-south, west-to-east, northwest-to-southeast. [5]",5,シ
一,5,五,五,five,"As with four, we shall postpone learning the primitive elements that make up this character. Note how the general principle we just learned in the preceding frame applies to the writing of the character for five. [4]",4,ゴ
一,6,六,六,six,"The primitives here are top hat and animal legs. Once again, we glide over them until later. [4]",4,ロク、リク
一,7,七①,七,seven,"Note that the First stroke “cuts” through the second. This distinguishes seven from the character for spoon 0 (frame 444), in which the horizontal stroke stops short. [2]",2,シチ
一,7,七②,七,"diced, i.e., “cut” into little pieces","* as a primitive, this form takes on the meaning of diced, i.e., “cut” into little pieces, consistent both with the way the character is written and with its association with the kanji for cut × to be learned in a later Lesson (frame 85).",,シチ
一,8,八,八,"eight, eight radical (no. 12)","Just as the Arabic numeral “8” is composed of a small circle followed by a larger one, so the kanji for eight is composed of a short line followed by a longer line, slanting towards it but not touching it. And just as the “lazy 8” % is the mathematical symbol for “in³nity,” so the expanse opened up below these two strokes is associated by the Japanese with the sense of an in³nite expanse or something “all-encompassing.” [2]",2,ハチ
一,9,円,円,"circle, yen, round","This kanji, also used for Yen, is one you are not likely to need to study formally, since you can hardly get around in Japan without it. The connection is that the yennies, like pennies, are circular in shape. In any case, the elements are: glass canopy . . . walking stick . . . one. [4]",4,エン
一,10,十①,十,ten,"* as a primitive, this character sometimes keeps its meaning of ten and sometimes signifies needle, this latter derived from the kanji for needle [(frame 274). Since the primitive is used in the kanji itself, there is no need to worry about confusing the two. In fact, we shall be following this procedure regularly.",,ジュウ、ジッ、ジュッ
一,11,万,万,"ten thousand, 10,000","Japanese counts higher numbers in units of ten thousand, unlike the West, which advances according to units of one thousand. (Thus, for instance, 40,000 would be read “four ten thousand” by a Japanese.) Given that the comma is used in larger numbers to bind up a numerical unit of one thousand, the elements for one and bound up naturally come to form ten thousand. The order of strokes here needs special attention, both because it falls outside the general principles we have learned already, and because it involves writing the element for bound up in an order opposite to the one we learned. If it is any consolation, this exception is consistent every time these three strokes come together. [3]",3,マン、バン
一,11,一③,一,,,,
匕,1,匕①,匕,,,,
匕,2,化①,化,"change, take the form of, influence, enchant, delude, -ization",Person . . . spoon. [4],4,
匕,3,北①,北,north,"The cold air from the north is so strong that we see two people sitting on the ground back to back, their arms interlocked so they don’t blow away. (Pay special attention to the drawing of the first 3 strokes.) [5]",5,
匕,4,叱①,叱,"scold, reprove",Mouth… someone sitting on the ground [5],5,
匕,5,此,此,,,,
匕,6,牝,牝,,,,
匕,7,匙①,匙,,,,
匕,7,匕②,匕,,,,
七,1,七③,七,seven,"This character, a pictograph of a spoon, is easy enough to remember, provided you keep it distinct from that for seven. The difference, of course, is that the first stroke cuts across the second only ever so slightly here. [2]",2,シチ
七,3,叱②,叱,"scold, reprove",Mouth… someone sitting on the ground [5],5,シツ、 シチ、 カ
七,4,匂①,匂,"fragrant, stink, glow",Bound up… someone sitting on the ground [4],4,
七,5,壱,壱,one (in documents),"The Roman numeral i, like that for ii we met earlier in frame 355—is only rarely used now. In the midst of all the samurai, we notice one in particular sitting on the ground with a crown on his head, indicating that he is “number i” in the current rankings. [7]",7,イチ、 イツ
七,6,頃,頃,"time, about, toward",Someone sitting on the ground… head…[4],4,ケイ、 キョウ
七,7,傾①,傾,"lean, incline, tilt, trend, wane, sink, ruin, bias",Change . . . head. The key word has the sense of leaning on or toward someone or something. [13],13,ケイ
七,7,七④,七,,,,
旨,1,旨①,旨,"delicious, relish, show a liking for, purport, will, clever, expert",Something is so downright delicious that one spends the entire day with a spoon in hand gobbling it up. [6],6,シ
旨,2,指,指,"finger, point to, indicate, put into, play (chess), measure (ruler)",Finger . . . delicious. [9],9,
旨,3,脂,脂,"fat, grease, tallow, lard, rosin, gum, tar","This kanji tells us that if you feed the flesh with too many delicious things, it soon picks up a thick layer of fat. [10]",10,
旨,4,詣,詣,"visit a temple, arrive, attain",Say . . . delicious. [13],13,ケイ、 ゲイ
旨,5,鮨,鮨,,,,
旨,6,嘗,嘗,,,,
旨,7,稽,稽,"think, consider",Wheat . . . superb . . . delicious. [10],10,ケイ
旨,7,旨②,旨,,,,
眞,1,眞①,眞,"truth, reality, Buddhist sect",Someone sitting on the ground . . . straightaway . . . animal legs. [10],10,
眞,2,塡,塡,"fill in, fill up, make good",Ground . . . truth. [14],14,テン、 チン
眞,2,眞②,眞,,,,
比,1,比①,比,"compare, race, ratio, Philippines","With two spoons, one in each hand, you are comparing your mother’s cooking with your mother-in-law’s. [4]",4,ヒ
比,2,庇,庇,,,,
比,3,屁,屁,,,,
比,3,比②,比,,,,
昆,1,昆①,昆,"descendants, elder brother, insect","By comparing apes with anthropoids, we not only discover the latter have descended from those progenitors educated in the higher branches, but that the very idea of seeing everything descended from everything else, one way or another, means that there is “nothing new under the sun.” [8]",8,コン
昆,2,混,混,"mix, blend, confuse","Mixed marriages, this character suggests, water down the quality of one’s descendants—the oldest racial nonsense in the world! [11]",11,コン
昆,2,昆②,昆,,,,
皆,1,皆①,皆,"all, everything","Think of the housewives in tv commercials “comparing the whiteness” of their laundry across the fence, a typical advertisement for the popular detergent known as all. (If you don’t know the brand, surely you’ve heard the phrases “all-purpose detergent” or “all-temperature detergent.”) [9]",9,カイ
皆,2,楷,楷,"square character style, correctness",Tree . . . everything. [14],14,カイ
皆,3,諧,諧,harmony,Words/ saying . . . everything. [14],14,カイ
皆,3,皆②,皆,,,,
疑,1,疑①,疑,"doubt, distrust, be suspicious, question",Spoon . . . dart . . . chop-seal . . . zoo. [14],14,ギ
疑,2,擬,擬,"mimic, aim (a gun) at, nominate, imitate",Fingers . . . doubt. [17],17,ギ
疑,3,凝,凝,"congeal, freeze, stiff, be absorbed in",Ice . . . doubt. [16],16,ギョウ
疑,3,疑②,疑,,,,
九,1,九①,九,nine,"If you take care to remember the stroke order of this kanji, you will not have trouble later keeping it distinct from the kanji for power j (frame 858). [2]",2,キュウ、ク
九,1,九②,九,baseball team or simply baseball,"* as a primitive, we shall use this kanji to mean baseball team or simply baseball. The meaning, of course, is derived from the nine players who make up a team.",,キュウ、ク
九,2,丸,丸,"round, full (month), perfection, -ship, pills, make round, roll up, curl up, seduce, explain away","We speak of “round numbers,” or “rounding a number off,” meaning to add an insignificant amount to bring it to the nearest 10. For instance, if you add just a wee bit, the tiniest drop, to nine, you end up with a round number. [3]",3,ガン
九,3,尻①,尻,"buttocks, hips, butt, rear",Flag . . . baseball. [5],5,コウ
九,4,旭,旭,"rising sun, morning sun","This character is a sort of nickname for the Japanese flag with its well-known emblem of the rising sun. If you can picture two seams running down that great red sun, and then imagine it sitting on a baseball bat for a flagpole, you have a slightly irreverent—but not altogether inaccurate—picture of how the sport has caught on in the Land of the Rising Sun. [6]",6,
