group_number,group_kanji,group_meaning,group_story,onyomi
1,一,One,"* as a primitive ELEMENT, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of floor or ceiling, depending on its position: if it stands above another primitive, it means ceiling; if below, floor.",イチ、イツ
2,匕,,,
3,七,seven,"This character, a pictograph of a spoon, is easy enough to remember, provided you keep it distinct from that for seven. The difference, of course, is that the first stroke cuts across the second only ever so slightly here. [2]",シチ
4,旨,"delicious, relish, show a liking for, purport, will, clever, expert",Something is so downright delicious that one spends the entire day with a spoon in hand gobbling it up. [6],シ
5,眞,"truth, reality, Buddhist sect",Someone sitting on the ground . . . straightaway . . . animal legs. [10],
6,比,"compare, race, ratio, Philippines","With two spoons, one in each hand, you are comparing your mother’s cooking with your mother-in-law’s. [4]",ヒ
7,昆,"descendants, elder brother, insect","By comparing apes with anthropoids, we not only discover the latter have descended from those progenitors educated in the higher branches, but that the very idea of seeing everything descended from everything else, one way or another, means that there is “nothing new under the sun.” [8]",コン
8,皆,"all, everything","Think of the housewives in tv commercials “comparing the whiteness” of their laundry across the fence, a typical advertisement for the popular detergent known as all. (If you don’t know the brand, surely you’ve heard the phrases “all-purpose detergent” or “all-temperature detergent.”) [9]",カイ
9,疑,"doubt, distrust, be suspicious, question",Spoon . . . dart . . . chop-seal . . . zoo. [14],ギ
10,九,baseball team or simply baseball,"* as a primitive, we shall use this kanji to mean baseball team or simply baseball. The meaning, of course, is derived from the nine players who make up a team.",キュウ、ク
12,十,ten,"* as a primitive, this character sometimes keeps its meaning of ten and sometimes signifies needle, this latter derived from the kanji for needle [(frame 274). Since the primitive is used in the kanji itself, there is no need to worry about confusing the two. In fact, we shall be following this procedure regularly.",
13,廿,,,
14,,"commoner, all, bastard",Caverns . . . oven fire. [11],ショ
15,度,"degrees, occurrence, time, counter for occurrences, consider, attitude","This key word refers to a gradation of measurement, not to academic diplomas. Its primitives: caverns . . . crotch. [9]",ド、ト、タク
16,世,,,
17,千,thousand,"This kanji is almost too simple to pull apart, but for the sake of practice, have a look at the drop above and the ten below. Now put the elements together by thinking of squeezing two more zeros out of an eyedropper alongside the number ten to make it a thousand. [3]",セン
19,中,"in, inside, middle, mean, Centre","The elements here are a walking stick and a mouth. Remember the trouble your mother had getting medicine in your mouth? Chances are it crossed her mind more than once to grab something handy, like your grandfather’s walking stick, to pry open your jaws while she performed her duty. Keep the image of getting something in from the outside, and the otherwise abstract sense of this key word should be a lot easier than trying to spoon castor oil into a baby’s mouth. [4]",チュウ
20,𠀐,,,
21,貴,"precious, value, prize, esteem, honor",Purse . . . shells. [12],キ
22,丩,cornucopia,"* cornucopia ¥ Considering the lack of circular lines, this kanji is not a bad pictograph of a cornucopia. Despite the appearance of the printed form, what looks like the first two strokes are actually written as one. [2]",
23,卑,"lowly, base, vile, vulgar",A drop of . . . brains . . . cornucopia. [8],ヒ
24,丶,a drop of,"* In general, it is written from right to left, but there are times when it can be slanted left to right. At other times it can be stretched out a bit. (In cases where you have trouble remembering this, it may help to think of it as an eyedropper dripping drops of something or other.) Examples will follow in this Lesson.",
25,日,sun or day or a tongue wagging in the mouth,"* Used as a primitive, this kanji can mean sun or day or a tongue wagging in the mouth. This latter meaning, incidentally, derives from an old character outside the standard list meaning something like “sayeth” and written almost exactly the same, except that the stroke in the middle does not touch the right side (Q, frame 578).",ニチ、ジツ
26,假,"temporary, interim, assumed (name), informal",,
27,白,white bird or dove,"* as a primitive, this character can either retain its meaning of white or take the more graphic meaning of a white bird or dove. This latter stems from the fact that it appears at the top of the kanji for bird, which we shall get to later (frame 1941).",ハク、ビャク
28,皃,"countenance, appearance",White . . . Human legs.,
29,,"crevice, fissure, discord, opportunity, leisure",Pinnacle . . . little . . . spring. [13],ゲキ、 キャク、 ケキ
30,原,"meadow, original, PRIMITIVE, field, plain, prairie, tundra, wilderness","Though the kanji is broad enough to embrace both meanings, the meadow you should imagine here is not a flatland plain but a mountain meadow in the Austrian Alps. (Perhaps the opening scene of “The Sound of Music” will help.) Simply think of little springs bubbling up across the meadow to form a sort of path that leads you right to the brink of a precipitous cliff. Now if you can see Schwester Maria skipping along merrily, dodging in and out of the springs, and then falling headlong over the cliff, you have a ridiculous story that should help fix this kanji in memory. [10]",
31,泉,"spring, fountain",White . . . water. [13],セン
32,自,nose or nostrils,"* The same meaning of oneself can be kept when this kanji is used as a primitive ELEMENT, but you will generally find it better to give it the meaning of nose or nostrils, both because it accords with the story above and because it is the first part of the kanji for nose (frame 678).",ジ、シ
